,ioBroker/ioBroker,home-assistant/core,node-red/node-red
2022-09-12,0,36,10
2022-09-13,0,84,2
2022-09-14,0,41,0
2022-09-15,0,45,5
2022-09-16,0,20,1
2022-09-17,0,29,1
2022-09-18,0,50,3
2022-09-19,0,43,1
2022-09-20,0,23,2
2022-09-21,0,36,0
2022-09-22,0,45,2
2022-09-23,0,28,0
2022-09-24,0,7,0
2022-09-25,0,19,0
2022-09-26,0,59,0
2022-09-27,0,31,0
2022-09-28,0,62,0
2022-09-29,0,63,5
2022-09-30,0,36,1
2022-10-01,0,20,0
2022-10-02,0,48,1
2022-10-03,0,43,0
2022-10-04,0,50,14
2022-10-05,0,33,0
2022-10-06,0,34,0
2022-10-07,0,35,0
2022-10-08,0,28,0
2022-10-09,0,32,0
2022-10-10,0,54,0
2022-10-11,0,44,0
2022-10-12,0,36,2
2022-10-13,0,23,0
2022-10-14,0,69,0
2022-10-15,0,10,0
2022-10-16,0,20,4
2022-10-17,0,24,0
2022-10-18,0,35,0
2022-10-19,0,31,0
2022-10-20,0,47,0
2022-10-21,0,38,0
2022-10-22,0,18,0
2022-10-23,0,34,0
2022-10-24,0,35,0
2022-10-25,0,51,4
2022-10-26,0,64,0
2022-10-27,0,42,0
2022-10-28,0,20,0
2022-10-29,0,53,4
2022-10-30,0,20,0
2022-10-31,0,58,2
2022-11-01,0,51,5
2022-11-02,2,39,0
2022-11-03,0,32,0
2022-11-04,0,8,1
2022-11-05,0,16,2
2022-11-06,0,16,0
2022-11-07,0,33,11
2022-11-08,0,87,0
2022-11-09,1,28,1
2022-11-10,0,20,1
2022-11-11,0,11,0
2022-11-12,0,6,0
2022-11-13,0,22,0
2022-11-14,0,19,0
2022-11-15,0,29,3
2022-11-16,0,91,0
2022-11-17,0,44,0
2022-11-18,1,17,0
2022-11-19,0,14,0
2022-11-20,0,29,0
2022-11-21,0,24,0
2022-11-22,0,31,0
2022-11-23,0,25,0
2022-11-24,0,46,0
2022-11-25,0,29,0
2022-11-26,0,16,0
2022-11-27,0,18,0
2022-11-28,0,59,2
2022-11-29,0,57,3
2022-11-30,0,59,20
2022-12-01,3,37,3
2022-12-02,0,29,6
2022-12-03,0,58,13
2022-12-04,0,19,1
2022-12-05,0,78,11
2022-12-06,0,77,9
2022-12-07,0,35,2
2022-12-08,0,47,4
2022-12-09,8,38,1
2022-12-10,0,26,0
