,hyperledger/besu,ethereum/go-ethereum,NethermindEth/nethermind
2018-11-09,1.0,2,23
2018-11-10,-0.3999999999999999,0,19
2018-11-11,2.88,0,4
2018-11-12,1.7360000000000002,3,33
2018-11-13,3.3984000000000005,4,17
2018-11-14,1.4180480000000006,8,8
2018-11-15,-0.5397631999999999,8,30
2018-11-16,0.16697344000000003,5,14
2018-11-17,-1.677901312,0,2
2018-11-18,2.1790405631999996,1,10
2018-11-19,7.253597184,3,28
2018-11-20,1.629328793600001,6,6
2018-11-21,2.0345143296000003,5,0
2018-11-22,-1.0280811519999995,5,39
2018-11-23,-0.8865011711999999,3,13
2018-11-24,-2.1879653376,0,15
2018-11-25,0.8513112063999997,0,0
2018-11-26,0.4189066239999999,15,16
2018-11-27,-0.6358544384,3,25
2018-11-28,2.7868653568,8,1
2018-11-29,4.800038707200001,9,12
2018-11-30,1.3538988032000008,2,9
2018-12-01,-2.3121362943999997,1,8
2018-12-02,-0.7526158336000002,2,4
2018-12-03,3.658976256,4,1
2018-12-04,0.2322049023999999,4,27
2018-12-05,-1.3303366656,1,2
2018-12-06,2.5316170752000002,1,8
2018-12-07,4.5779493888000005,3,13
2018-12-08,-1.8252594175999994,0,0
2018-12-09,-2.239789056,0,1
2018-12-10,5.9269517312,17,0
2018-12-11,-0.5056595967999997,7,0
2018-12-12,1.44745472,2,0
2018-12-13,1.2443211776000003,3,9
2018-12-14,1.1888586752,7,10
2018-12-15,-2.8644877311999997,0,2
2018-12-16,-0.2728969216000001,0,0
2018-12-17,3.8347121663999997,3,14
2018-12-18,1.3407375360000002,4,0
2018-12-19,3.3158027264000003,0,0
2018-12-20,3.494047641600001,2,0
2018-12-21,-0.19924971519999968,3,0
2018-12-22,-3.2749386752,4,0
2018-12-23,-1.4817871872000004,1,0
2018-12-24,-0.9257733120000005,0,0
2018-12-25,-0.6759021568000003,0,0
2018-12-26,-0.5153873919999999,0,0
2018-12-27,0.6374263808,0,0
2018-12-28,-0.6563611647999998,1,0
2018-12-29,-0.27020994559999995,2,0
2018-12-30,-0.11519262719999998,0,6
2018-12-31,0.9583999999999999,0,5
2019-01-01,-0.42995199999999995,0,2
2019-01-02,0.8570367999999999,2,8
2019-01-03,0.5176294400000001,6,4
2019-01-04,2.4232442880000002,5,7
2019-01-05,-0.42675015679999984,2,10
2019-01-06,0.11143680000000011,1,3
2019-01-07,6.1980774400000005,6,2
2019-01-08,1.8231290880000004,1,0
2019-01-09,2.9104120832000007,1,0
2019-01-10,0.3780321280000005,4,1
2019-01-11,2.9328192511999998,5,0
2019-01-12,-2.7812630528,0,0
2019-01-13,-1.0080231424000003,0,0
2019-01-14,13.4785242112,0,3
2019-01-15,6.098071859200002,7,15
2019-01-16,0.34724618240000105,4,1
2019-01-17,3.8422615040000005,7,0
2019-01-18,-4.7165503488,3,2
2019-01-19,-2.685540659200001,1,0
2019-01-20,1.5430607871999995,0,0
2019-01-21,5.8943501311999995,2,0
2019-01-22,5.810623283200001,2,0
2019-01-23,3.3969029120000016,4,0
2019-01-24,0.39039426560000123,14,4
2019-01-25,0.4881453055999998,2,14
2019-01-26,-2.8756843520000004,2,5
2019-01-27,-3.034375065600001,1,0
2019-01-28,4.2939287552,2,1
2019-01-29,19.3934338048,8,3
2019-01-30,9.190743756800003,7,0
2019-01-31,7.237386035200002,1,4
2019-02-01,-1.1118213119999982,2,0
2019-02-02,-9.3137744896,0,8
2019-02-03,-1.3017755648000016,1,0
2019-02-04,9.0425867264,7,0
2019-02-05,0.44059084799999937,4,6
2019-02-06,4.4894456832000005,5,0
2019-02-07,1.4840923136000015,17,5
2019-02-08,2.1913461760000006,6,2
2019-02-09,-5.584943411199999,0,6
2019-02-10,-1.2476290048000007,0,5
2019-02-11,7.332137983999999,0,7
2019-02-12,6.4170535936,10,7
2019-02-13,2.8644653056000013,3,0
2019-02-14,1.1657460736000012,13,0
2019-02-15,-1.1093833728,2,0
2019-02-16,-4.714601779200001,1,0
2019-02-17,-2.2841362432000007,1,0
2019-02-18,12.5453064192,15,9
