,diaspora/diaspora,mastodon/mastodon,friendica/friendica
2016-04-20,0,0.0,32
2016-04-21,4,0.0,11
2016-04-22,0,0.0,4
2016-04-23,0,0.0,6
2016-04-24,0,0.0,4
2016-04-25,2,0.0,22
2016-04-26,0,0.0,6
2016-04-27,2,0.0,6
2016-04-28,1,0.0,11
2016-04-29,0,0.0,11
2016-04-30,0,0.0,2
2016-05-01,0,0.0,210
2016-05-02,0,0.0,6
2016-05-03,1,0.0,5
2016-05-04,1,0.0,6
2016-05-05,3,0.0,8
2016-05-06,5,0.0,17
2016-05-07,2,0.0,3
2016-05-08,2,0.0,0
2016-05-09,0,0.0,2
2016-05-10,0,0.0,2
2016-05-11,1,0.0,5
2016-05-12,62,0.0,5
2016-05-13,1,0.0,3
2016-05-14,0,0.0,0
2016-05-15,0,0.0,5
2016-05-16,0,0.0,5
2016-05-17,3,0.0,0
2016-05-18,0,0.0,6
2016-05-19,0,0.0,6
2016-05-20,0,0.0,5
2016-05-21,3,0.0,2
2016-05-22,0,0.0,5
2016-05-23,0,0.0,8
2016-05-24,0,0.0,2
2016-05-25,0,0.0,6
2016-05-26,0,0.0,6
2016-05-27,1,0.0,5
2016-05-28,0,0.0,7
2016-05-29,0,0.0,14
2016-05-30,0,0.0,12
2016-05-31,3,0.0,4
2016-06-01,0,0.0,23
2016-06-02,0,0.0,5
2016-06-03,0,0.0,4
2016-06-04,0,0.0,8
2016-06-05,0,0.0,9
2016-06-06,1,0.0,20
2016-06-07,8,0.0,15
2016-06-08,2,0.0,9
2016-06-09,2,0.0,7
2016-06-10,0,0.0,15
2016-06-11,0,0.0,15
2016-06-12,3,0.0,24
2016-06-13,0,0.0,14
2016-06-14,1,0.0,4
2016-06-15,0,0.0,5
2016-06-16,24,0.0,4
2016-06-17,1,0.0,11
2016-06-18,10,0.0,7
2016-06-19,20,0.0,5
2016-06-20,9,0.0,13
2016-06-21,0,0.0,5
2016-06-22,0,0.0,4
2016-06-23,0,0.0,5
2016-06-24,0,0.0,3
2016-06-25,0,0.0,12
2016-06-26,115,0.0,4
2016-06-27,15,0.0,4
2016-06-28,7,0.0,2
2016-06-29,2,0.0,7
2016-06-30,1,0.0,11
2016-07-01,0,0.0,3
2016-07-02,0,0.0,19
2016-07-03,4,0.0,7
2016-07-04,1,0.0,4
2016-07-05,8,0.0,5
2016-07-06,1,0.0,0
2016-07-07,1,0.0,7
2016-07-08,2,0.0,5
2016-07-09,5,0.0,4
2016-07-10,0,0.0,11
2016-07-11,4,0.0,7
2016-07-12,1,0.0,2
2016-07-13,0,0.0,8
2016-07-14,0,0.0,5
2016-07-15,3,0.0,11
2016-07-16,3,0.0,1
2016-07-17,5,0.0,2
2016-07-18,2,0.0,1
2016-07-19,0,0.0,2
2016-07-20,2,0.0,0
2016-07-21,0,0.0,5
2016-07-22,0,0.0,2
2016-07-23,0,0.0,1
2016-07-24,0,0.0,3
2016-07-25,0,0.0,2
2016-07-26,0,0.0,9
2016-07-27,0,0.0,2
2016-07-28,0,0.0,7
2016-07-29,0,0.0,0
2016-07-30,0,0.0,3
2016-07-31,1,0.0,0
2016-08-01,4,0.0,12
2016-08-02,0,0.0,8
2016-08-03,0,0.0,9
2016-08-04,0,0.0,19
2016-08-05,1,0.0,3
2016-08-06,0,0.0,6
2016-08-07,6,0.0,2
2016-08-08,43,0.0,14
2016-08-09,15,0.0,6
2016-08-10,20,0.0,12
2016-08-11,30,0.0,7
2016-08-12,14,0.0,2
2016-08-13,11,0.0,9
2016-08-14,40,0.0,16
2016-08-15,7,0.0,0
2016-08-16,3,0.0,2
2016-08-17,3,1.0,5
2016-08-18,16,5.9,1
2016-08-19,0,-0.6450000000000006,2
2016-08-20,2,-0.2985000000000002,1
2016-08-21,22,-0.19166250000000004,0
2016-08-22,9,-0.1400917499999995,0
2016-08-23,0,-0.10986251249999965,8
2016-08-24,0,5.90993422875,0
2016-08-25,0,0.32386950948437465,0
2016-08-26,3,0.5641912693703124,1
2016-08-27,0,-0.3663931152156251,5
2016-08-28,0,-0.1974749999999996,0
2016-08-29,0,-0.14586299999999963,2
2016-08-30,0,-0.11575132499999963,0
2016-08-31,0,4.9041590600000005,3
2016-09-01,8,3.41833441315625,4
2016-09-02,0,0.3039448755187497,1
2016-09-03,5,2.5595328344484374,4
2016-09-04,37,8.429288647464062,2
2016-09-05,2,11.773266249999999,3
2016-09-06,4,-0.9414395625000012,10
2016-09-07,0,1.87227921875,2
2016-09-08,4,2.9448088874218756,0
2016-09-09,0,1.8919895015078139,5
2016-09-10,12,8.009416825590625,0
2016-09-11,8,-1.5351574703328121,1
2016-09-12,8,3.1098083115015633,1
2016-09-13,0,-0.03351197577656184,10
2016-09-14,0,-0.7189952847328113,2
2016-09-15,0,1.5749846359171882,0
2016-09-16,0,0.4736409890796882,0
2016-09-17,0,6.562726884559376,0
2016-09-18,12,9.017923825251563,3
2016-09-19,6,4.482048529676562,1
2016-09-20,10,4.6482370516875,5
2016-09-21,0,5.614758001840625,4
2016-09-22,0,3.495809492464063,9
2016-09-23,0,1.6064930902187506,10
2016-09-24,0,5.819182483162501,15
2016-09-25,17,2.515875918854688,16
2016-09-26,0,2.6833608995921887,1
2016-09-27,0,4.777834081546875,3
2016-09-28,8,-1.3382566795593744,8
2016-09-29,8,4.208206924925001,10
2016-09-30,6,1.9498342909203132,8
2016-10-01,7,-0.9144451254765618,20
2016-10-02,0,10.436601916282813,17
2016-10-03,0,7.490775420185938,7
2016-10-04,0,-1.6760020897062504,9
2016-10-05,0,4.0763343992625,11
2016-10-06,0,18.870864866034374,2
2016-10-07,0,4.330630596171875,9
2016-10-08,0,-1.1030320892265628,2
2016-10-09,0,4.646002171142188,5
2016-10-10,0,17.456571540578125,1
2016-10-11,0,-0.9097847575359372,2
2016-10-12,0,12.246221845926563,0
2016-10-13,0,0.46655867242187465,0
2016-10-14,0,6.199533590757815,1
2016-10-15,0,14.993435736921876,0
2016-10-16,0,8.147990804232812,2
2016-10-17,2,10.316465015620313,14
2016-10-18,29,5.0682031199875,0
2016-10-19,0,-1.5522091092140613,1
2016-10-20,0,2.3788964739593768,4
2016-10-21,0,-1.5776894070499976,12
2016-10-22,0,-0.018435785482810108,12
2016-10-23,4,2.113414537196877,11
2016-10-24,0,2.058687162467189,11
2016-10-25,2,1.1533459704015632,7
2016-10-26,2,-0.6906358333421871,3
2016-10-27,19,2.6252618316968754,2
2016-10-28,0,4.4728281329015624,10
2016-10-29,5,-0.80885039389375,7
2016-10-30,0,4.574931060734375,0
2016-10-31,0,3.1988035946671873,5
2016-11-01,0,1.1472483608453126,4
2016-11-02,7,13.313097028860938,3
2016-11-03,3,10.176798643678124,4
2016-11-04,0,4.865592829703124,9
2016-11-05,0,3.116359814814062,7
2016-11-06,14,4.371380706070314,6
2016-11-07,0,7.383375124921876,4
2016-11-08,0,8.062738417757814,0
2016-11-09,0,3.8418823163250004,6
2016-11-10,0,4.112928720209376,6
2016-11-11,0,-1.8135326279406239,0
2016-11-12,2,2.905119272209377,8
2016-11-13,8,11.852203677170314,13
2016-11-14,3,-1.0315430320234373,8
2016-11-15,6,5.777882530143751,33
2016-11-16,0,2.4850429445203126,10
2016-11-17,4,2.715459919046876,5
2016-11-18,8,17.829868706690625,4
2016-11-19,3,6.379371687284374,31
2016-11-20,0,0.7398794341874995,29
2016-11-21,0,25.345171736903126,5
2016-11-22,8,9.202388180267187,18
2016-11-23,6,14.734919371354687,5
2016-11-24,2,9.246943507685938,3
2016-11-25,6,22.512155246543752,4
2016-11-26,5,4.243512588809375,1
2016-11-27,2,-2.6562911915734353,10
2016-11-28,5,12.62035542687969,18
