,gcc-mirror/gcc,golang/go,llvm/llvm-project
2020-05-03,4,1,40
2020-05-04,25,15,89
2020-05-05,67,15,122
2020-05-06,32,13,107
2020-05-07,35,26,137
2020-05-08,21,28,91
2020-05-09,41,3,41
2020-05-10,5,2,55
2020-05-11,43,7,114
2020-05-12,41,6,106
2020-05-13,33,9,110
2020-05-14,31,14,104
2020-05-15,29,1,126
2020-05-16,3,0,33
2020-05-17,11,0,39
2020-05-18,26,10,71
2020-05-19,32,10,141
2020-05-20,32,7,122
2020-05-21,20,12,97
2020-05-22,22,1,82
2020-05-23,12,1,42
2020-05-24,2,3,36
2020-05-25,25,1,57
2020-05-26,28,16,108
2020-05-27,28,5,136
2020-05-28,31,6,153
2020-05-29,30,9,152
2020-05-30,8,1,46
2020-05-31,15,5,38
2020-06-01,18,7,75
2020-06-02,62,8,124
2020-06-03,52,18,143
2020-06-04,69,15,141
2020-06-05,52,13,161
2020-06-06,4,0,39
2020-06-07,12,2,49
2020-06-08,47,13,125
2020-06-09,62,9,149
2020-06-10,49,7,112
2020-06-11,57,7,119
2020-06-12,45,4,93
2020-06-13,4,1,34
2020-06-14,7,2,31
2020-06-15,44,7,145
2020-06-16,65,5,144
2020-06-17,59,12,128
2020-06-18,53,8,151
2020-06-19,43,6,117
2020-06-20,9,1,62
2020-06-21,4,0,29
2020-06-22,16,1,102
2020-06-23,24,5,132
2020-06-24,27,9,136
2020-06-25,25,9,154
2020-06-26,12,8,142
2020-06-27,8,1,48
2020-06-28,11,1,27
2020-06-29,24,7,116
2020-06-30,20,7,140
2020-07-01,30,4,142
2020-07-02,24,1,109
2020-07-03,13,1,92
2020-07-04,2,0,42
2020-07-05,4,3,21
2020-07-06,44,6,103
2020-07-07,47,11,127
2020-07-08,44,9,138
2020-07-09,25,4,131
2020-07-10,55,4,120
2020-07-11,8,0,52
2020-07-12,2,0,25
2020-07-13,32,2,124
2020-07-14,26,3,131
2020-07-15,41,1,120
2020-07-16,45,7,142
2020-07-17,19,3,114
2020-07-18,7,0,52
2020-07-19,6,0,28
2020-07-20,23,3,123
2020-07-21,19,5,118
2020-07-22,21,1,163
2020-07-23,19,6,125
2020-07-24,20,3,100
2020-07-25,5,2,45
2020-07-26,7,0,45
2020-07-27,43,2,108
2020-07-28,17,2,136
2020-07-29,24,0,166
2020-07-30,28,11,129
2020-07-31,33,7,104
2020-08-01,9,2,34
2020-08-02,6,1,36
2020-08-03,33,8,112
2020-08-04,38,1,138
2020-08-05,21,1,170
2020-08-06,18,2,148
2020-08-07,10,2,136
2020-08-08,5,0,48
2020-08-09,5,0,38
2020-08-10,21,10,103
2020-08-11,16,6,165
2020-08-12,21,13,99
2020-08-13,16,7,143
2020-08-14,15,11,98
2020-08-15,1,11,34
2020-08-16,3,6,29
2020-08-17,12,41,131
2020-08-18,25,27,112
2020-08-19,23,13,116
2020-08-20,16,7,90
2020-08-21,12,7,107
2020-08-22,5,3,44
2020-08-23,5,3,18
2020-08-24,15,22,100
2020-08-25,25,17,109
2020-08-26,42,14,133
2020-08-27,20,19,157
2020-08-28,16,13,94
