,exercism/exercism,freecodecamp/freecodecamp,ossu/computer-science
2022-07-13,0,7,0.0
2022-07-14,0,4,0.0
2022-07-15,0,4,0.0
2022-07-16,0,2,3.0
2022-07-17,0,3,-0.30000000000000027
2022-07-18,0,5,-0.1350000000000001
2022-07-19,0,9,-0.08550000000000006
2022-07-20,0,2,-0.06198749999999977
2022-07-21,0,7,-0.048350249999999845
2022-07-22,0,8,-0.03948603749999988
2022-07-23,0,3,-0.0332810887499999
2022-07-24,0,5,-0.028704939046874926
2022-07-25,0,8,-0.025196557607812434
2022-07-26,0,4,0.0
2022-07-27,0,12,0.0
2022-07-28,0,10,0.0
2022-07-29,0,5,0.0
2022-07-30,0,1,0.0
2022-07-31,0,0,0.0
2022-08-01,0,4,1.0
2022-08-02,0,7,-0.10000000000000009
2022-08-03,0,9,1.955
2022-08-04,0,4,-0.2285000000000002
2022-08-05,0,4,-0.1106625
2022-08-06,0,1,-0.07311675
2022-08-07,0,2,-0.05448701249999981
2022-08-08,0,12,-0.04332719624999986
2022-08-09,0,9,-0.0358923380156249
2022-08-10,0,6,-0.03058624503593741
2022-08-11,0,3,-0.01913662603124995
2022-08-12,0,4,-0.016797705071874957
2022-08-13,0,0,0.0
2022-08-14,0,2,0.0
2022-08-15,0,4,0.0
2022-08-16,0,4,0.0
2022-08-17,0,3,0.0
2022-08-18,0,2,0.0
2022-08-19,0,10,0.0
2022-08-20,0,3,0.0
2022-08-21,0,0,0.0
2022-08-22,0,9,0.0
2022-08-23,0,4,1.0
2022-08-24,0,6,-0.10000000000000009
2022-08-25,0,4,-0.04500000000000003
2022-08-26,0,3,-0.028500000000000022
2022-08-27,0,1,-0.020662499999999924
2022-08-28,0,0,-0.016116749999999947
2022-08-29,0,6,-0.01316201249999996
2022-08-30,0,5,-0.011093696249999967
2022-08-31,0,4,-0.009568313015624975
2022-09-01,0,3,-0.008398852535937478
2022-09-02,0,3,0.0
2022-09-03,0,0,0.0
2022-09-04,0,2,0.0
2022-09-05,0,0,0.0
2022-09-06,0,1,0.0
2022-09-07,0,6,0.0
2022-09-08,0,3,0.0
2022-09-09,0,1,1.0
2022-09-10,0,1,-0.10000000000000009
2022-09-11,0,0,-0.04500000000000003
2022-09-12,0,8,-0.028500000000000022
2022-09-13,0,3,-0.020662499999999924
2022-09-14,0,1,-0.016116749999999947
2022-09-15,0,8,-0.01316201249999996
2022-09-16,0,5,1.98890630375
2022-09-17,0,0,-0.20956831301562515
2022-09-18,0,1,-0.09839885253593754
2022-09-19,0,3,-0.057000000000000044
2022-09-20,0,6,-0.04132499999999985
2022-09-21,0,7,-0.032233499999999894
2022-09-22,0,6,-0.02632402499999992
2022-09-23,0,4,-0.022187392499999934
2022-09-24,0,0,-0.01913662603124995
2022-09-25,0,1,0.983202294928125
2022-09-26,0,3,-0.10000000000000009
2022-09-27,0,8,-0.04500000000000003
2022-09-28,0,8,-0.028500000000000022
2022-09-29,0,8,-0.020662499999999924
2022-09-30,0,7,-0.016116749999999947
2022-10-01,0,6,-0.01316201249999996
2022-10-02,0,1,0.98890630375
2022-10-03,0,7,-0.10956831301562506
2022-10-04,0,12,-0.05339885253593751
2022-10-05,0,12,-0.028500000000000022
2022-10-06,0,8,-0.020662499999999924
2022-10-07,0,6,-0.016116749999999947
2022-10-08,0,3,-0.01316201249999996
2022-10-09,0,3,-0.011093696249999967
2022-10-10,0,11,-0.009568313015624975
2022-10-11,0,17,-0.008398852535937478
2022-10-12,0,12,1.0
2022-10-13,0,4,0.8999999999999999
2022-10-14,0,7,-0.14500000000000013
2022-10-15,0,4,-0.07350000000000005
2022-10-16,0,0,-0.04916249999999994
2022-10-17,0,8,-0.036779249999999875
2022-10-18,0,7,-0.02927876249999991
2022-10-19,0,12,-0.024255708749999928
2022-10-20,0,6,-0.02066200926562494
2022-10-21,0,12,-0.017967165551562456
2022-10-22,0,3,-0.008398852535937478
2022-10-23,0,2,0.0
2022-10-24,0,7,0.0
2022-10-25,0,4,0.0
2022-10-26,1,10,1.0
2022-10-27,0,11,-0.10000000000000009
2022-10-28,0,5,-0.04500000000000003
2022-10-29,0,8,-0.028500000000000022
2022-10-30,1,0,-0.020662499999999924
2022-10-31,0,8,-0.016116749999999947
2022-11-01,0,6,-0.01316201249999996
2022-11-02,0,3,-0.011093696249999967
2022-11-03,0,4,-0.009568313015624975
2022-11-04,0,8,-0.008398852535937478
2022-11-05,0,0,0.0
2022-11-06,0,0,0.0
2022-11-07,0,5,0.0
2022-11-08,0,5,0.0
2022-11-09,0,7,0.0
2022-11-10,0,5,0.0
2022-11-11,0,8,0.0
2022-11-12,0,0,0.0
2022-11-13,0,0,2.0
2022-11-14,0,9,-0.20000000000000018
2022-11-15,0,3,-0.09000000000000007
2022-11-16,0,3,-0.057000000000000044
2022-11-17,0,3,-0.04132499999999985
2022-11-18,0,2,-0.032233499999999894
2022-11-19,0,0,-0.02632402499999992
2022-11-20,0,0,-0.022187392499999934
2022-11-21,0,2,-0.01913662603124995
2022-11-22,0,3,0.983202294928125
2022-11-23,1,1,-0.10000000000000009
2022-11-24,0,3,-0.04500000000000003
2022-11-25,0,9,-0.028500000000000022
2022-11-26,0,0,-0.020662499999999924
2022-11-27,0,1,1.98388325
2022-11-28,0,5,-0.21316201250000014
2022-11-29,0,1,-0.10109369625000003
2022-11-30,0,5,3.933431686984375
2022-12-01,0,3,-0.44972385253593766
2022-12-02,1,9,-0.21223350000000002
2022-12-03,0,0,1.859675975
2022-12-04,0,0,-0.3048373924999998
2022-12-05,0,7,-0.1736036260312498
2022-12-06,0,7,-0.12644575507187483
2022-12-07,0,4,-0.08569978499999972
2022-12-08,0,3,1.9294932479375002
2022-12-09,0,7,-0.25991943514375004
2022-12-10,0,2,-0.1121873925
2022-12-11,0,1,-0.07613662603124999
2022-12-12,0,10,-0.05812270507187481
2022-12-13,1,2,0.9677665000000001
2022-12-14,0,8,-0.126324025
