,DevExpress/testcafe,cypress-io/cypress,seleniumhq/selenium
2019-04-20,0,1,1.0
2019-04-21,0,0,-0.19999999999999996
2019-04-22,2,1,2.92
2019-04-23,1,2,0.3520000000000001
2019-04-24,3,2,5.5264
2019-04-25,2,2,2.550464
2019-04-26,2,1,3.5507712
2019-04-27,0,0,-1.7351347200000002
2019-04-28,0,0,3.1051898879999995
2019-04-29,1,2,-0.4112943104000002
2019-04-30,1,1,4.027193344
2019-05-01,0,5,4.3652487168
2019-05-02,0,5,11.9489534976
2019-05-03,0,1,8.1272554496
2019-05-04,0,0,-2.2050671616000006
2019-05-05,0,0,-1.5117624320000012
2019-05-06,4,1,1.2637624319999994
2019-05-07,4,3,1.1918244863999996
2019-05-08,0,1,1.2663965695999997
2019-05-09,0,0,-1.6994647039999997
2019-05-10,0,0,-0.030558310399999566
2019-05-11,0,0,0.07708631040000113
2019-05-12,0,0,-0.7140287487999996
2019-05-13,2,4,5.6439990272
2019-05-14,0,0,0.5507009536000003
2019-05-15,0,2,-0.07048734720000005
2019-05-16,0,9,0.22546401279999995
2019-05-17,2,6,0.3476364287999999
2019-05-18,0,1,-0.5797304320000001
2019-05-19,0,0,-0.36210186240000014
2019-05-20,1,2,1.7379767296
2019-05-21,0,17,2.4002554880000004
2019-05-22,0,12,1.0735169536000004
2019-05-23,3,2,-0.8126819328000001
2019-05-24,2,4,-0.41498378240000017
2019-05-25,0,1,-0.27472906240000006
2019-05-26,0,0,-0.19713495040000006
2019-05-27,2,1,1.85378816
2019-05-28,5,3,2.4795868160000003
2019-05-29,0,8,2.1380447232
2019-05-30,2,0,1.9978165248000002
2019-05-31,2,1,2.9238612992
2019-06-01,0,1,0.6641279999999998
2019-06-02,0,0,-1.0822656000000004
2019-06-03,1,2,10.37545216
2019-06-04,1,5,0.3521500160000004
2019-06-05,0,13,3.1704876032
2019-06-06,0,0,1.9678614527999998
2019-06-07,2,0,-1.9027356672000002
2019-06-08,0,5,-1.0705083392000003
2019-06-09,0,0,-0.7399776256000001
2019-06-10,4,1,1.4655009791999998
2019-06-11,1,2,0.18666700800000058
2019-06-12,0,4,-0.7066747903999997
2019-06-13,6,1,6.6469465088
2019-06-14,0,3,1.3649024000000007
2019-06-15,0,0,-1.2945494016000003
2019-06-16,0,0,4.3576064
2019-06-17,2,6,4.56651776
2019-06-18,0,4,-1.9252541440000002
2019-06-19,0,9,2.0210639871999994
2019-06-20,0,2,10.7517572096
2019-06-21,0,2,-1.1207741439999994
2019-06-22,0,0,-1.8898085888000007
2019-06-23,0,0,-0.08141445120000057
2019-06-24,0,5,6.05069312
2019-06-25,0,9,-2.0635914239999993
2019-06-26,1,4,-0.029813862400000612
2019-06-27,0,4,3.1432586239999996
2019-06-28,2,4,1.615349964800001
2019-06-29,0,9,-0.34558842879999974
2019-06-30,0,4,-0.8504670208000004
2019-07-01,1,4,11.483189248
2019-07-02,10,4,-2.784556134399999
2019-07-03,0,5,6.743864627199999
2019-07-04,3,0,22.655083008
2019-07-05,10,0,-6.1844291583999995
2019-07-06,0,0,-2.800399257600002
2019-07-07,0,0,-1.765741363200001
2019-07-08,0,2,10.7401220096
2019-07-09,1,13,8.625517056000001
2019-07-10,4,3,0.8442340351999995
2019-07-11,3,2,6.925730303999999
2019-07-12,1,6,6.161352396800002
2019-07-13,0,0,4.938634240000001
2019-07-14,0,0,-3.799577600000001
2019-07-15,0,4,-2.1119462400000018
2019-07-16,1,5,4.498722816
2019-07-17,5,8,5.631033651200001
2019-07-18,1,6,3.0950500352000003
2019-07-19,0,1,-0.6873502719999998
2019-07-20,0,0,4.113488896
2019-07-21,0,0,-1.324198911999999
2019-07-22,2,4,0.5833150463999996
2019-07-23,0,5,-1.2534067200000005
2019-07-24,1,1,2.1950151680000003
2019-07-25,2,4,-1.2151517183999996
2019-07-26,1,6,3.3247566848000005
2019-07-27,0,0,0.7793473536000004
2019-07-28,0,0,-0.9898492927999998
2019-07-29,1,12,-0.5516652544
2019-07-30,2,4,-0.3329311744
2019-07-31,2,1,-0.24506286080000006
2019-08-01,4,7,12.824049664
2019-08-02,0,2,3.2540274688000004
2019-08-03,0,0,10.668595712
2019-08-04,0,1,-3.7826528256000005
2019-08-05,0,8,3.210261299199999
2019-08-06,11,3,-2.1575680000000004
2019-08-07,3,2,-1.2555904000000007
2019-08-08,4,1,13.085411839999999
2019-08-09,1,2,-2.5221749759999987
2019-08-10,0,0,-1.9161551872000004
2019-08-11,0,0,-1.1160003583999996
2019-08-12,0,0,-0.7651351551999998
2019-08-13,0,1,8.53695744
2019-08-14,1,0,-2.1738859519999996
2019-08-15,4,0,-0.9774028800000008
2019-08-16,2,0,-0.6503546879999995
2019-08-17,0,0,-0.49135861759999955
2019-08-18,0,0,0.7577066495999999
2019-08-19,5,0,1.6161408
2019-08-20,1,0,-0.6323404800000001
2019-08-21,1,1,-0.3374894079999996
2019-08-22,1,1,1.7581758464000004
2019-08-23,0,0,-0.49273599999999995
2019-08-24,0,0,8.768499199999999
2019-08-25,0,0,-1.9537843199999996
2019-08-26,0,2,3.1645588479999995
2019-08-27,5,0,10.6756832256
2019-08-28,3,0,2.9118036992
2019-08-29,2,2,-2.6156774400000007
2019-08-30,0,0,0.5969653759999991
2019-08-31,0,0,-0.37062318080000023
2019-09-01,0,0,-1.0792366079999998
2019-09-02,4,0,0.2457073663999999
2019-09-03,2,1,4.301555712
2019-09-04,2,0,11.511237734400002
2019-09-05,4,0,4.649647923200001
2019-09-06,2,0,0.9573016575999995
2019-09-07,0,0,-2.3032381440000007
2019-09-08,0,0,0.6717647871999994
2019-09-09,2,7,4.675691929599999
2019-09-10,3,3,4.9367162879999995
2019-09-11,4,0,2.4539703295999997
2019-09-12,7,1,-2.3817159679999995
2019-09-13,1,0,-1.3335821311999998
2019-09-14,0,0,-0.8265792511999999
2019-09-15,0,0,10.4469443584
2019-09-16,4,0,3.3989826560000007
2019-09-17,1,5,-0.4118960128000002
2019-09-18,4,0,4.3318363136
2019-09-19,0,1,3.8231759872000004
2019-09-20,0,2,-0.32084275200000034
2019-09-21,0,0,6.386867199999999
2019-09-22,0,0,-2.60943872
2019-09-23,3,2,-0.39149875200000017
2019-09-24,2,4,3.8156686336000005
2019-09-25,1,9,12.2724033536
2019-09-26,1,8,2.2940291072000005
2019-09-27,0,4,0.04797378559999954
2019-09-28,0,0,5.815458713599999
2019-09-29,0,8,9.1134508032
2019-09-30,0,2,-1.9619295232000002
2019-10-01,0,2,10.616959488
2019-10-02,3,3,0.8746372095999995
2019-10-03,0,2,3.82989056
2019-10-04,0,1,3.7272602623999997
2019-10-05,0,0,1.8135894015999998
2019-10-06,0,0,-0.7924559872000003
2019-10-07,0,3,4.929284812800001
2019-10-08,2,0,-1.7145509888000001
2019-10-09,3,4,-0.6423661567999999
2019-10-10,3,4,0.6935912448000003
