,sinatra/sinatra,rails/rails,django/django
2019-09-08,0,15,1.0
2019-09-09,0,13,10.0
2019-09-10,1,6,15.0
2019-09-11,0,7,4.0
2019-09-12,0,7,3.0
2019-09-13,0,30,2.0
2019-09-14,0,14,1.0
2019-09-15,0,8,0.0
2019-09-16,0,21,4.0
2019-09-17,0,11,3.0
2019-09-18,0,17,2.0
2019-09-19,0,6,2.0
2019-09-20,0,8,4.0
2019-09-21,0,3,1.0
2019-09-22,0,4,0.0
2019-09-23,0,15,6.0
2019-09-24,0,23,8.0
2019-09-25,0,9,4.0
2019-09-26,0,4,0.0
2019-09-27,0,1,7.0
2019-09-28,0,14,0.0
2019-09-29,0,2,0.0
2019-09-30,0,15,4.0
2019-10-01,0,11,7.0
2019-10-02,0,17,10.0
2019-10-03,0,13,4.0
2019-10-04,0,20,1.0
2019-10-05,0,2,0.0
2019-10-06,0,10,0.0
2019-10-07,0,21,2.0
2019-10-08,0,7,2.0
2019-10-09,0,4,12.0
2019-10-10,0,13,5.0
2019-10-11,0,16,6.0
2019-10-12,0,3,0.0
2019-10-13,0,8,0.0
2019-10-14,0,7,4.0
2019-10-15,1,10,6.0
2019-10-16,0,8,4.0
2019-10-17,0,14,2.0
2019-10-18,0,3,6.0
2019-10-19,0,10,0.0
2019-10-20,0,0,0.0
2019-10-21,0,14,7.0
2019-10-22,0,2,3.0
2019-10-23,0,5,9.0
2019-10-24,0,7,8.0
2019-10-25,1,6,7.0
2019-10-26,7,1,0.0
2019-10-27,0,3,0.0
2019-10-28,0,2,5.0
2019-10-29,0,4,9.0
2019-10-30,0,11,7.0
2019-10-31,0,6,7.0
2019-11-01,0,4,1.0
2019-11-02,0,2,0.0
2019-11-03,0,3,0.0
2019-11-04,0,9,10.0
2019-11-05,0,3,8.0
2019-11-06,2,9,11.0
2019-11-07,0,6,7.0
2019-11-08,0,10,7.0
2019-11-09,0,6,0.0
2019-11-10,0,12,0.0
2019-11-11,0,1,5.0
2019-11-12,0,2,5.0
2019-11-13,0,14,4.0
2019-11-14,0,6,2.0
2019-11-15,0,13,3.0
2019-11-16,0,11,0.0
2019-11-17,0,3,0.0
2019-11-18,0,3,15.0
2019-11-19,0,8,7.0
2019-11-20,0,5,4.0
2019-11-21,0,17,9.0
2019-11-22,0,11,5.0
2019-11-23,0,3,0.0
2019-11-24,0,10,0.0
2019-11-25,0,3,10.0
2019-11-26,0,3,3.0
2019-11-27,0,5,9.0
2019-11-28,0,7,5.0
2019-11-29,1,0,3.0
2019-11-30,0,4,0.0
2019-12-01,0,1,0.0
2019-12-02,0,7,13.0
2019-12-03,0,17,7.0
2019-12-04,0,18,9.0
2019-12-05,1,7,6.0
2019-12-06,0,19,7.0
2019-12-07,1,2,0.0
2019-12-08,0,3,0.0
2019-12-09,0,20,6.0
2019-12-10,0,11,6.0
2019-12-11,0,7,5.0
2019-12-12,0,8,9.0
2019-12-13,2,16,1.0
2019-12-14,0,8,2.0
2019-12-15,0,9,0.0
2019-12-16,0,11,3.0
2019-12-17,0,36,1.0
2019-12-18,0,44,7.0
2019-12-19,0,19,5.0
2019-12-20,0,23,3.0
2019-12-21,0,9,1.0
2019-12-22,0,9,0.0
