,python/cpython,JuliaLang/julia,rust-lang/rust
2022-06-16,11.0,9,89
2022-06-17,13.899999999999999,11,68
2022-06-18,5.004999999999998,3,71
2022-06-19,9.311499999999999,7,69
2022-06-20,4.9302125,9,100
2022-06-21,23.11827825,10,84
2022-06-22,9.3403291125,7,105
2022-06-23,10.71593440375,4,105
2022-06-24,9.616787275578126,4,65
2022-06-25,6.611770165620314,1,74
2022-06-26,11.937343024601564,2,94
2022-06-27,6.609957652826564,5,98
2022-06-28,9.937938862245314,3,140
2022-06-29,6.779871230607814,6,115
2022-06-30,8.998117707398439,16,165
2022-07-01,9.012144108564064,2,106
2022-07-02,0.9948808452937516,0,117
2022-07-03,0.7989634681265643,6,74
2022-07-04,4.259326154406252,3,84
2022-07-05,12.21214490555469,22,107
2022-07-06,2.4911912929375006,12,128
2022-07-07,10.076608781876564,7,97
2022-07-08,4.619094063453125,7,125
2022-07-09,4.932057690881251,5,70
2022-07-10,1.0627403537562508,3,50
2022-07-11,5.543835548309376,3,116
2022-07-12,3.3237332542984386,10,65
2022-07-13,4.444283121315626,13,97
2022-07-14,9.41001130691875,7,103
2022-07-15,3.9679082698828125,5,97
2022-07-16,4.232963917209375,5,68
2022-07-17,4.360755914889063,5,77
2022-07-18,13.404049156951563,7,108
2022-07-19,4.531125445032813,8,94
2022-07-20,13.915346652170314,10,171
2022-07-21,2.136417625476562,6,111
2022-07-22,12.8726831891125,7,81
2022-07-23,5.1372797415109375,6,63
2022-07-24,5.567287391690627,4,109
2022-07-25,14.684976975440627,7,112
2022-07-26,13.8393128658,6,114
2022-07-27,10.463678568351563,3,97
2022-07-28,12.591482355248438,1,115
2022-07-29,6.351378750596876,4,97
2022-07-30,2.876188122085939,5,85
2022-07-31,1.4157071753359398,0,77
2022-08-01,13.932681126837503,3,85
2022-08-02,1.9817938471968768,3,96
2022-08-03,7.709511738123439,8,103
2022-08-04,18.553793359670312,4,134
2022-08-05,9.451847018746875,3,65
2022-08-06,4.75954450176875,5,72
2022-08-07,-2.6670741384531245,3,63
2022-08-08,8.342444430221878,3,72
2022-08-09,3.7911587253562518,7,111
2022-08-10,5.005619819346877,5,97
2022-08-11,12.074314823414063,5,76
2022-08-12,4.3729377500625,4,109
2022-08-13,4.795843957542188,2,61
2022-08-14,1.027310287907813,1,57
2022-08-15,6.526307892212501,4,80
2022-08-16,6.240848604843751,4,106
2022-08-17,7.093722797796876,11,88
2022-08-18,10.972378108675,8,104
2022-08-19,9.490811438779687,6,89
2022-08-20,-1.6374380378624998,5,79
2022-08-21,3.4102561523890635,1,117
2022-08-22,3.417794173201564,7,133
2022-08-23,8.48008150576719,3,134
2022-08-24,7.003749746837501,5,87
2022-08-25,7.932602911321876,3,67
2022-08-26,7.779839640473438,8,112
2022-08-27,4.705382652095313,0,92
2022-08-28,-0.01376308719687458,2,80
2022-08-29,11.604995226135939,14,87
2022-08-30,16.72347659724219,16,100
2022-08-31,1.7830542159140625,21,124
2022-09-01,2.7076973200000003,17,94
2022-09-02,3.058310147020314,12,87
2022-09-03,3.2467431957343775,10,53
2022-09-04,6.378708978531252,0,60
2022-09-05,9.17637886746719,6,82
2022-09-06,5.795827684475,19,75
2022-09-07,8.880842175985938,11,74
2022-09-08,6.651917942989063,3,96
2022-09-09,4.809664128492188,2,88
2022-09-10,1.9883153409921883,1,72
2022-09-11,1.3489109647421889,5,54
2022-09-12,0.6113857244453142,9,126
2022-09-13,8.855337779040626,11,115
2022-09-14,4.219610096729689,16,103
2022-09-15,4.402125882790625,17,75
2022-09-16,2.4465186312140625,7,94
2022-09-17,5.693712813567188,7,58
2022-09-18,2.507187166435938,3,46
2022-09-19,6.734216633309376,7,70
2022-09-20,6.406907278860938,7,82
2022-09-21,3.2588804122718757,11,86
