,golang/go,swiftlang/swift,rust-lang/rust
2018-07-17,18,87,65
2018-07-18,32,96,78
2018-07-19,34,76,57
2018-07-20,11,64,89
2018-07-21,0,39,42
2018-07-22,0,12,65
2018-07-23,4,66,62
2018-07-24,10,78,109
2018-07-25,3,116,82
2018-07-26,1,79,79
2018-07-27,9,75,56
2018-07-28,9,45,32
2018-07-29,3,28,56
2018-07-30,3,63,109
2018-07-31,20,112,108
2018-08-01,18,78,120
2018-08-02,12,58,64
2018-08-03,14,55,57
2018-08-04,2,12,68
2018-08-05,0,4,97
2018-08-06,3,49,58
2018-08-07,6,80,104
2018-08-08,5,59,70
2018-08-09,16,75,127
2018-08-10,13,88,46
2018-08-11,0,43,52
2018-08-12,1,16,41
2018-08-13,3,65,53
2018-08-14,4,105,125
2018-08-15,0,73,105
2018-08-16,3,115,116
2018-08-17,14,93,44
2018-08-18,8,53,40
2018-08-19,0,7,83
2018-08-20,53,70,72
2018-08-21,53,65,44
2018-08-22,53,62,118
2018-08-23,11,50,72
2018-08-24,28,95,87
2018-08-25,7,52,43
2018-08-26,6,18,57
2018-08-27,3,37,89
2018-08-28,13,80,61
2018-08-29,6,88,92
2018-08-30,29,56,98
2018-08-31,11,89,78
2018-09-01,2,26,64
2018-09-02,3,5,42
2018-09-03,7,5,74
2018-09-04,10,55,39
2018-09-05,17,82,64
2018-09-06,9,73,93
2018-09-07,14,38,74
2018-09-08,3,15,63
2018-09-09,3,1,47
2018-09-10,2,44,69
2018-09-11,7,61,85
2018-09-12,10,52,71
2018-09-13,14,52,76
2018-09-14,6,92,44
2018-09-15,3,29,69
2018-09-16,3,49,50
2018-09-17,12,34,51
2018-09-18,12,56,61
2018-09-19,9,71,45
2018-09-20,8,77,86
2018-09-21,0,80,50
2018-09-22,0,68,57
2018-09-23,2,10,43
2018-09-24,17,85,41
2018-09-25,13,75,51
2018-09-26,11,95,87
2018-09-27,14,76,35
2018-09-28,10,68,37
2018-09-29,4,20,66
2018-09-30,1,8,59
2018-10-01,6,60,51
2018-10-02,27,40,64
2018-10-03,29,72,42
2018-10-04,19,67,62
2018-10-05,15,93,82
2018-10-06,11,18,48
2018-10-07,1,13,30
2018-10-08,5,54,76
2018-10-09,16,68,76
2018-10-10,16,56,76
2018-10-11,17,65,58
2018-10-12,17,73,69
2018-10-13,4,30,76
2018-10-14,3,13,54
2018-10-15,20,55,123
2018-10-16,11,62,69
2018-10-17,18,31,63
2018-10-18,11,16,73
2018-10-19,13,40,67
2018-10-20,2,25,54
2018-10-21,1,15,36
2018-10-22,14,16,52
2018-10-23,24,42,57
2018-10-24,19,49,58
2018-10-25,15,47,122
2018-10-26,11,79,77
2018-10-27,7,45,49
2018-10-28,9,9,61
2018-10-29,12,57,61
2018-10-30,23,68,70
2018-10-31,15,67,62
2018-11-01,10,54,96
2018-11-02,41,56,62
2018-11-03,6,20,71
2018-11-04,2,62,37
2018-11-05,21,45,99
2018-11-06,15,105,53
2018-11-07,6,89,81
2018-11-08,17,71,56
2018-11-09,16,101,49
2018-11-10,7,58,85
2018-11-11,4,5,60
2018-11-12,32,44,38
2018-11-13,19,73,63
2018-11-14,23,101,36
2018-11-15,9,83,67
2018-11-16,20,115,123
2018-11-17,3,45,34
2018-11-18,2,16,47
2018-11-19,8,9,52
2018-11-20,12,14,72
2018-11-21,8,10,108
2018-11-22,2,22,61
2018-11-23,4,8,42
2018-11-24,1,3,61
2018-11-25,0,1,63
2018-11-26,13,82,56
2018-11-27,13,75,127
2018-11-28,16,88,47
2018-11-29,26,74,84
2018-11-30,10,98,103
2018-12-01,6,25,18
2018-12-02,2,13,57
2018-12-03,10,49,79
2018-12-04,14,86,82
2018-12-05,20,60,59
2018-12-06,10,66,74
2018-12-07,10,79,57
2018-12-08,1,41,57
2018-12-09,1,14,57
2018-12-10,10,62,73
2018-12-11,15,49,78
2018-12-12,21,78,86
2018-12-13,25,84,53
2018-12-14,16,38,80
2018-12-15,5,55,57
2018-12-16,1,25,40
2018-12-17,19,48,56
2018-12-18,18,65,50
2018-12-19,8,47,117
2018-12-20,13,52,86
2018-12-21,4,77,79
