,twbs/bootstrap,mui/material-ui,ant-design/ant-design
2015-05-07,2,3.0,5
2015-05-08,4,0.40000000000000013,5
2015-05-09,2,6.56,9
2015-05-10,2,12.376,0
2015-05-11,3,19.4912,4
2015-05-12,5,13.833791999999999,7
2015-05-13,11,1.1659775999999988,0
2015-05-14,21,-2.024360960000002,0
2015-05-15,5,5.466604543999998,3
2015-05-16,6,-4.139614003200001,16
2015-05-17,2,-1.4635398144000011,0
2015-05-18,2,3.9763080192,5
2015-05-19,0,0.3335389184000017,0
2015-05-20,0,-1.1290734591999985,0
2015-05-21,1,-0.36072806399999924,2
2015-05-22,2,1.0536055808000002,2
2015-05-23,7,1.0306577408000006,0
2015-05-24,1,16.0300683264,0
2015-05-25,0,-3.892370432,13
2015-05-26,3,0.28125941759999895,11
2015-05-27,1,-0.4896067584000001,23
2015-05-28,7,1.9081479168,6
2015-05-29,18,0.6883198975999998,15
2015-05-30,5,-0.17758781440000027,0
2015-05-31,1,1.0698596351999998,0
2015-06-01,11,0.9872765952000009,5
2015-06-02,2,11.981930803200001,17
2015-06-03,2,13.952339456,13
2015-06-04,0,-0.7597001728000006,33
2015-06-05,2,8.987813273599999,18
2015-06-06,0,0.8521602047999997,0
2015-06-07,0,5.830794547199999,4
2015-06-08,2,4.314815385599999,22
2015-06-09,9,11.3136049152,57
2015-06-10,2,13.872119603200002,39
2015-06-11,3,4.4663748608,15
2015-06-12,0,10.486581555199999,18
2015-06-13,3,1.808689254399999,0
2015-06-14,0,3.033218355199999,23
2015-06-15,1,10.50353408,62
2015-06-16,6,5.288130150400001,14
2015-06-17,1,10.6767290368,41
2015-06-18,11,7.753450496000001,8
2015-06-19,11,-1.1457284096000002,21
2015-06-20,1,12.6931495936,0
2015-06-21,1,0.9530469375999999,0
2015-06-22,6,5.427549900799999,0
2015-06-23,16,4.269870796799999,2
2015-06-24,0,22.462984192,8
2015-06-25,1,20.024203673600002,22
2015-06-26,0,6.4603872256,13
2015-06-27,2,0.02897469439999778,0
2015-06-28,0,5.009263103999999,0
2015-06-29,0,1.0959086591999991,1
2015-06-30,0,-0.851688652800001,3
2015-07-01,7,1.1514132479999994,13
2015-07-02,1,27.4686106624,16
2015-07-03,4,-5.481882316799997,15
2015-07-04,7,2.4273722367999992,2
2015-07-05,0,4.9580491775999995,7
2015-07-06,0,9.8684981248,30
2015-07-07,2,20.8438562816,30
2015-07-08,1,8.073429299199999,41
2015-07-09,1,30.8590173184,35
2015-07-10,0,-5.530371583999997,14
2015-07-11,1,0.028836761599997374,12
2015-07-12,1,7.517998284799998,11
2015-07-13,3,18.8817262592,23
2015-07-14,0,0.37142435839999877,33
2015-07-15,0,-1.4081893376000005,59
2015-07-16,0,14.1442533376,45
2015-07-17,1,6.205227417600002,40
2015-07-18,8,-4.2450230272,0
2015-07-19,0,-2.6561214464000016,0
2015-07-20,0,8.3685670912,65
2015-07-21,0,6.925737164800002,45
2015-07-22,0,12.558828032000001,21
2015-07-23,0,0.3359832063999999,11
2015-07-24,1,-3.0797542399999998,13
2015-07-25,7,-2.6247361536,1
2015-07-26,3,-1.6526164992,1
2015-07-27,3,7.866050867199999,14
2015-07-28,4,3.308966297600001,19
2015-07-29,3,8.3487092736,36
2015-07-30,0,7.384256921600001,39
2015-07-31,4,6.014368051200001,21
2015-08-01,2,-1.9286278144000004,3
2015-08-02,0,0.5528554495999987,0
2015-08-03,0,15.83459072,38
2015-08-04,0,2.9913374720000006,28
2015-08-05,31,1.8839788543999996,14
2015-08-06,9,9.5205651456,21
2015-08-07,0,0.3490395136000002,16
2015-08-08,8,-1.4326278144000009,3
2015-08-09,1,-0.4018554880000007,5
2015-08-10,44,3.0737708031999995,15
2015-08-11,13,-0.31034142719999913,8
2015-08-12,0,3.2024352768000006,19
2015-08-13,32,12.9734555648,3
2015-08-14,9,8.897580441600002,14
2015-08-15,5,-0.5436311551999999,4
2015-08-16,0,-3.006191616000001,3
2015-08-17,14,5.245114675199999,31
2015-08-18,37,8.3552852992,51
2015-08-19,72,3.291444224,43
2015-08-20,44,-0.3344964608000005,41
2015-08-21,43,12.496875008,28
2015-08-22,7,-4.566139391999998,16
2015-08-23,45,-2.2227500032000007,11
2015-08-24,25,11.6073667584,36
2015-08-25,27,-2.6105175039999997,30
2015-08-26,25,-1.0483637248000006,12
2015-08-27,15,-0.49908899839999976,25
2015-08-28,2,-1.1491493888,10
2015-08-29,10,1.2532082688000008,1
2015-08-30,2,6.040249344,0
2015-08-31,3,-1.85961216,27
2015-09-01,6,2.094068224,39
2015-09-02,36,1.7829552128000004,2
2015-09-03,9,-0.17005578239999997,0
2015-09-04,0,-0.8304666624000003,0
2015-09-05,14,0.48587560959999976,0
2015-09-06,17,0.427329536,0
2015-09-07,3,1.4228529152000005,21
2015-09-08,9,2.2471119872000003,20
2015-09-09,4,-0.9559720959999999,14
2015-09-10,10,8.5073660928,14
2015-09-11,3,-2.1089605631999997,30
2015-09-12,2,0.0783031295999993,4
2015-09-13,1,-0.7807800320000002,8
2015-09-14,1,0.4956030975999999,13
2015-09-15,2,4.4301510656000005,18
2015-09-16,6,2.6344389632,27
2015-09-17,1,-0.46328453120000024,18
2015-09-18,0,-0.9435182079999999,7
2015-09-19,3,0.40531312640000006,2
2015-09-20,3,1.4551034879999998,1
2015-09-21,1,1.2527159295999999,2
2015-09-22,5,10.185727488,7
2015-09-23,4,12.3378564096,20
2015-09-24,7,19.79443968,8
2015-09-25,9,0.2690340863999996,4
2015-09-26,2,-1.530925670400002,0
2015-09-27,6,-3.185994752000002,0
2015-09-28,6,7.934744985599999,0
2015-09-29,5,15.4615959552,0
2015-09-30,0,5.193052467200001,0
2015-10-01,10,-3.1788294144,0
2015-10-02,2,3.759881216,17
2015-10-03,0,-3.4325185535999996,0
2015-10-04,3,-1.8455205888000008,0
2015-10-05,0,9.721081548799999,1
2015-10-06,2,10.8235264,3
2015-10-07,7,16.516136448,0
2015-10-08,4,-4.420037529599999,1
2015-10-09,3,0.5939746815999984,14
2015-10-10,3,1.1550513151999997,2
2015-10-11,5,-1.5911062528000004,3
2015-10-12,5,-1.7876531200000008,4
2015-10-13,11,1.718284288,3
2015-10-14,2,19.3805464576,13
2015-10-15,3,1.8319745024000023,9
2015-10-16,5,-0.6895898624000001,3
2015-10-17,4,-1.4394252288000011,0
2015-10-18,0,0.3174370303999996,0
2015-10-19,4,23.4789924864,32
2015-10-20,3,15.0201936896,8
2015-10-21,2,18.052166143999997,18
2015-10-22,1,-2.4920594432000005,23
2015-10-23,10,10.467148697599999,20
2015-10-24,14,-6.412232908800001,2
2015-10-25,4,-3.540625203200002,3
2015-10-26,7,2.4985824255999987,20
2015-10-27,14,3.0583713792000013,27
2015-10-28,7,0.8318074880000017,22
2015-10-29,9,1.4300297216000017,22
2015-10-30,8,1.755112448000001,22
2015-10-31,3,6.053700505600001,23
2015-11-01,0,3.2987303936000005,4
2015-11-02,5,-1.4757504000000008,15
2015-11-03,9,10.44424192,32
2015-11-04,2,2.5629608960000008,35
2015-11-05,1,4.1043229696,24
2015-11-06,1,1.0186184703999999,11
2015-11-07,0,0.5578491903999998,0
2015-11-08,0,2.9489997823999996,4
2015-11-09,0,12.7314306048,5
2015-11-10,0,11.727950745600001,12
2015-11-11,7,-0.27262781439999983,16
2015-11-12,6,16.319231283199997,13
2015-11-13,44,-1.1042033664000002,48
2015-11-14,1,-1.0584004608000015,19
2015-11-15,45,-1.0206821376000015,6
2015-11-16,11,1.6302117887999996,23
2015-11-17,0,2.5661460480000002,6
2015-11-18,0,2.445066752000001,24
2015-11-19,9,10.5520654336,43
