,bitcoinj/bitcoinj,bitcoin/bitcoin,libbitcoin/libbitcoin-system
2019-05-19,7,3,0.0
2019-05-20,1,9,0.0
2019-05-21,1,3,0.0
2019-05-22,0,8,0.0
2019-05-23,0,10,0.0
2019-05-24,3,4,1.0
2019-05-25,2,5,0.7
2019-05-26,0,1,-0.40499999999999997
2019-05-27,0,1,-0.1644999999999999
2019-05-28,0,16,-0.09966249999999996
2019-05-29,0,20,-0.06988275
2019-05-30,1,2,-0.05300111249999999
2019-05-31,0,1,-0.04223813625
2019-06-01,1,0,-0.03483399051562505
2019-06-02,0,5,-0.02946012999843757
2019-06-03,0,8,1.9864165867671875
2019-06-04,1,3,1.4
2019-06-05,0,9,-0.8099999999999999
2019-06-06,0,15,-0.3289999999999998
2019-06-07,0,14,-0.19932499999999992
2019-06-08,0,3,-0.1397655
2019-06-09,0,0,-0.10600222499999998
2019-06-10,0,1,-0.0844762725
2019-06-11,0,5,-0.0696679810312501
2019-06-12,1,2,-0.05892025999687514
2019-06-13,0,11,-0.027166826465625047
2019-06-14,0,10,0.0
2019-06-15,0,0,0.0
2019-06-16,0,4,3.0
2019-06-17,1,8,-0.9000000000000001
2019-06-18,0,14,-0.3149999999999998
2019-06-19,1,12,-0.1784999999999999
2019-06-20,1,13,-0.1204875
2019-06-21,0,9,-0.08916074999999998
2019-06-22,0,1,-0.06984258749999998
2019-06-23,4,2,-0.05687182125000001
2019-06-24,0,4,-0.04763015029687513
2019-06-25,0,8,-0.04075023969843757
2019-06-26,0,10,0.0
2019-06-27,0,4,0.0
2019-06-28,0,3,0.0
2019-06-29,0,8,0.0
2019-06-30,0,3,0.0
2019-07-01,0,5,0.0
2019-07-02,0,15,0.0
2019-07-03,1,15,0.0
2019-07-04,0,4,0.0
2019-07-05,4,7,0.0
2019-07-06,0,2,0.0
2019-07-07,1,4,0.0
2019-07-08,0,28,0.0
2019-07-09,0,19,0.0
2019-07-10,1,10,0.0
2019-07-11,0,4,0.0
2019-07-12,0,9,0.0
2019-07-13,0,0,0.0
2019-07-14,0,0,0.0
2019-07-15,3,5,0.0
2019-07-16,0,8,0.0
2019-07-17,0,8,0.0
2019-07-18,0,12,0.0
2019-07-19,0,11,2.0
2019-07-20,3,0,-0.6000000000000001
2019-07-21,0,1,-0.20999999999999985
2019-07-22,0,7,-0.11899999999999994
2019-07-23,0,8,-0.080325
2019-07-24,0,25,-0.05944049999999999
2019-07-25,0,7,0.953438275
2019-07-26,4,6,0.6620854525
2019-07-27,0,18,-0.43675343353125007
2019-07-28,0,4,-0.19166682646562494
2019-07-29,0,15,-0.09966249999999996
2019-07-30,0,16,6.93011725
2019-07-31,0,15,-2.1530011125000006
2019-08-01,0,12,-0.7772381362499994
2019-08-02,0,11,-0.45133399051562484
2019-08-03,0,1,-0.31059762999843754
2019-08-04,0,1,-0.2216251632328125
2019-08-05,0,6,0.8370339625000001
2019-08-06,0,8,-0.43270091625000007
2019-08-07,0,3,-0.21613701735937524
2019-08-08,1,2,-0.15458389262968764
2019-08-09,2,8,1.9598375
2019-08-10,0,1,-0.6297202500000001
